"recipient_uei","IHE","recipient_name","recipient_name_raw","recipient_parent_name","recipient_parent_uei","recipient_city_name","recipient_state_code","prime_award_base_transaction_description","total_obligated_amount","period_of_performance_start_date","period_of_performance_end_date","period_of_performance_potential_end_date","primary_place_of_performance_country_name","generated_unique_award_id","award_type"
"TX2DAGQPENZ5","","UNIVERSITY OF CALIFORNIA, DAVIS","UNIVERSITY OF CALIFORNIA, DAVIS","STATE OF CALIFORNIA CONTROLLERS OFFICE","NUDGYLBB4S99","DAVIS","CA","FEED THE FUTURE INNOVATION LAB FOR MARKETS, RISK, AND RESILIENCE",22589939,"2019-07-15","2025-07-14",NA,"UNITED STATES","ASST_NON_7200AA19LE00004_7200","COOPERATIVE AGREEMENT (B)"
"G56PUALJ3KT5","","CORNELL UNIVERSITY","CORNELL UNIVERSITY, INC","CORNELL UNIVERSITY","EQA8NBEN9WD5","ITHACA","NY","THE FEED THE FUTURE INNOVATION LAB CROP IMPROVEMENT WILL BE ENABLE THE DEVELOPMENT OF GLOBAL PORTFOLIO OF CROP IMPROVEMENT RESEARCH-FOR-DEVELOPMENT ACTIVITIES.",27297347,"2019-09-25","2029-09-24",NA,"UNITED STATES","ASST_NON_7200AA19LE00005_7200","COOPERATIVE AGREEMENT (B)"
"NTLHJXM55KZ6","","ARIZONA STATE UNIVERSITY","ARIZONA STATE UNIVERSITY","ARIZONA STATE UNIVERSITY","HX59VKHQH1V7","TEMPE","AZ","CENTER FOR APPLIED RESEARCH AND INNOVATION IN SUPPLY CHAIN-AFRICA (CARISCA) UNDER EXISTING SCIENCE, TECHNOLOGY, INNOVATION, AND PARTNERSHIP ANNUAL",14252340,"2020-06-04","2026-06-03",NA,"GHANA","ASST_NON_7200AA20CA00010_7200","COOPERATIVE AGREEMENT (B)"
"CTLVX9M7AMR4","","OLD DOMINION UNIVERSITY","EASTERN VIRGINIA MEDICAL SCHOOL","OLD DOMINION UNIVERSITY","CTLVX9M7AMR4","NORFOLK","VA","TO PROVIDE SUPPORT FOR ""FAMILY PLANNING AND REPRODUCTIVE HEALTH METHODS TO ADDRESS UNMET NEEDS""",18625000,"2020-03-23","2026-07-22",NA,"UNITED STATES","ASST_NON_7200AA20CA00019_7200","COOPERATIVE AGREEMENT (B)"
"XRJSGX384TD6","","WASHINGTON STATE UNIVERSITY","WASHINGTON STATE UNIVERSITY","WASHINGTON STATE UNIVERSITY","XRJSGX384TD6","PULLMAN","WA","THE PURPOSE OF THE FEED THE FUTURE ANIMAL HEALTH INNOVATION LAB IS TO IMPROVE PROACTIVE RISK REDUCTION AND MITIGATION FOR LIVESTOCK DISEASE THROUGH FURTHERING THE DEVELOPMENT OF FIELD DIAGNOSTIC TESTS, NEW OR IMPROVED VACCINES OR PHARMACEUTICALS FOR ONE OF FOLLOWING LIVESTOCK DISEASES: EAST COAST FEVER, TRYPANOSOMIASIS, CONTAGIOUS BOVINE PLEUROPNEUMONIA OR CONTAGIOUS CAPRINE PLEUROPNEUMONIA",5700000,"2020-08-05","2025-08-04",NA,"UNITED STATES","ASST_NON_7200AA20CA00022_7200","COOPERATIVE AGREEMENT (B)"
"FPU6XGFXMBE9","","UNIVERSITY OF NOTRE DAME DU LAC","UNIVERSITY OF NOTRE DAME DU LAC","UNIVERSITY OF NOTRE DAME DU LAC","KKBMKNFZ5PJ4","NOTRE DAME","IN","SUPPORTING HOLISTIC AND ACTIONABLE RESEARCH IN EDUCATION (SHARE)",30969368,"2020-08-04","2027-08-03",NA,"UNITED STATES","ASST_NON_7200AA20CA00025_7200","COOPERATIVE AGREEMENT (B)"
"CTLVX9M7AMR4","","OLD DOMINION UNIVERSITY","EASTERN VIRGINIA MEDICAL SCHOOL","OLD DOMINION UNIVERSITY","CTLVX9M7AMR4","NORFOLK","VA","THE PRIMARY PURPOSE OF THE PROPOSED PROGRAM IS TO TRANSFER FUNDS TO ACCOMPLISH A PUBLIC PURPOSE OF SUPPORT OR STIMULATION OF THE HIV PREVENTION PRODUCTS TARGETED FOR ADOLESCENT GIRLS AND YOUNG WOMEN IN LOW AND MIDDLE INCOME COUNTRIES.",8179463,"2020-09-22","2025-09-21",NA,"UNITED STATES","ASST_NON_7200AA20CA00030_7200","COOPERATIVE AGREEMENT (B)"
"C1F5LNUF7W86","","TRUSTEES OF TUFTS COLLEGE","TRUSTEES OF TUFTS COLLEGE","TRUSTEES OF TUFTS COLLEGE","WL9FLBRVPJJ7","BOSTON","MA","GOAL: TO ENHANCE THE CAPACITY OF LOCAL, NATIONAL AND REGIONAL INSTITUTIONS TO UNDERSTAND THE SPILLOVER ECOSYSTEM (SE) AND TO USE EXISTING AND NEW EVIDENCE TO ADVANCE, DEPLOY, AND ASSESS INTERVENTIONS TO REDUCE THE SPILLOVER OF EMERGING ZOONOTIC VIRUSES AT HIGH-RISK ANIMAL-HUMAN INTERFACES WHILE REDUCING AMPLIFICATION AND SPREAD.",31159947,"2020-10-01","2025-09-30",NA,"VIETNAM","ASST_NON_7200AA20CA00032_7200","COOPERATIVE AGREEMENT (B)"
"FTMTDMBR29C7","","THE JOHNS HOPKINS UNIVERSITY","JOHNS HOPKINS UNIVERSITY, THE","THE JOHNS HOPKINS UNIVERSITY","FTMTDMBR29C7","BALTIMORE","MD","RESEARCH TO STUDY HOW TO IMPROVE UPON ""REHABILITATION AND ASSISTIVE TECHNOLOGY (AT""",25703230,"2020-09-25","2025-09-24",NA,"UNITED STATES","ASST_NON_7200AA20CA00033_7200","COOPERATIVE AGREEMENT (B)"
"FTMTDMBR29C7","","THE JOHNS HOPKINS UNIVERSITY","JOHNS HOPKINS UNIVERSITY, THE","THE JOHNS HOPKINS UNIVERSITY","FTMTDMBR29C7","BALTIMORE","MD","TESTING A SCALABLE MODEL OF THE CHOLERA HOSPITAL-BASED INTERVENTION",1500000,"2020-06-08","2026-06-07",NA,"BANGLADESH","ASST_NON_7200AA20FA00016_7200","COOPERATIVE AGREEMENT (B)"
"CJDNG9D14MW7","","UNIVERSITY OF RHODE ISLAND","UNIVERSITY OF RHODE ISLAND","UNIVERSITY OF RHODE ISLAND","NFS9RNJVPMC7","KINGSTON","RI","THE PURPOSE OF THE WOMEN SHELLFISHERS AND FOOD SECURITY RESEARCH ACTIVITY IS TO BUILD THE KNOWLEDGE BASE ON THE CROSS-SECTORAL BENEFITS OF PROMOTING WOMEN SHELLFISH HARVESTERS AS ENVIRONMENTAL STEWARDS OF COASTAL FISHERIES AND MANGROVES ACROSS COASTAL WEST AFRICA. THE ACTIVITY WILL GENERATE PEER-REVIEWED DATA ON THE BENEFITS FOR HOUSEHOLD FOOD SECURITY, FAMILY NUTRITION (IN PARTICULAR REDUCING ANEMIA IN WOMEN OF REPRODUCTIVE AGE), AND THE PROTECTION OF KEY SERVICES PROVIDED BY MANGROVE AND COASTAL ECOSYSTEMS.",3191001,"2020-09-15","2025-12-14",NA,"UNITED STATES","ASST_NON_7200AA20FA00031_7200","PROJECT GRANT (B)"
"E2NYLCDML6V1","","MASSACHUSETTS INSTITUTE OF TECHNOLOGY","MASSACHUSETTS INSTITUTE OF TECHNOLOGY","MASSACHUSETTS INSTITUTE OF TECHNOLOGY","E2NYLCDML6V1","CAMBRIDGE","MA","BUILDING RESEARCH AND INNOVATION FOR DEVELOPMENT, GENERATING EVIDENCE, AND TRAINING (BRIDGE-TRAIN) UNDER EXISTING SCIENCE, TECHNOLOGY, INNOVATION, AND PARTNERSHIP ANNUAL PROGRAM STATEMENT APS NO.: 7200AA18APS00003",10252562,"2021-06-10","2026-06-09",NA,"GUATEMALA","ASST_NON_7200AA21CA00009_7200","COOPERATIVE AGREEMENT (B)"
"FL6GV84CKN57","","YALE UNIV","YALE UNIVERSITY","YALE UNIV","FL6GV84CKN57","NEW HAVEN","CT","BRINGING RESEARCH TO IMPACT FOR DEVELOPMENT, GLOBAL ENGAGEMENT, AND UTILIZATION (BRIDGE-U) UNDER EXISTING SCIENCE, TECHNOLOGY, INNOVATION, AND PARTNERSHIP ANNUAL PROGRAM STATEMENT APS NO.: 7200AA18APS00003",12980000,"2021-06-11","2026-06-10",NA,"LIBERIA","ASST_NON_7200AA21CA00010_7200","COOPERATIVE AGREEMENT (B)"
"DYZNJGLTHMR9","","HOWARD UNIVERSITY","HOWARD UNIVERSITY (INC)","HOWARD UNIVERSITY","DYZNJGLTHMR9","WASHINGTON","DC","USAID WILL PROVIDE 15 FELLOWSHIPS TO OUTSTANDING CANDIDATES FROM UNDERREPRESENTED RACIAL AND ETHNIC GROUPS,   HISTORICALLY MARGINALIZED POPULATIONS AND THOSE FROM SOCIOECONOMICALLY DISADVANTAGED BACKGROUNDS IN THE   UNITED STATES, AND WHO HAVE AN INTEREST IN PURSUING A FOREIGN SERVICE CAREER WITH USAID. THE RECIPIENT SHALL   PROVIDE FUNDING TO ASSIST THESE STUDENTS TOWARD COMPLETING A FULL-TIME TWO-YEAR GRADUATE DEGREE IN ACADEMIC   DISCIPLINES REPRESENTING THE SKILL NEEDS OF USAID, AS WELL AS PROVIDING PROFESSIONAL DEVELOPMENT ACTIVITIES   THROUGH ORIENTATION, SKILLS DEVELOPMENT ACTIVITIES, MENTORSHIP AND SUPPORT FOR SUMMER ROTATIONS/DETAILS IN   WASHINGTON D.C. AND OVERSEAS  AT A USAID MISSION.",9035283,"2021-09-30","2026-09-30",NA,"UNITED STATES","ASST_NON_7200AA21CA00016_7200","COOPERATIVE AGREEMENT (B)"
"R28EKN92ZTZ9","","MICHIGAN STATE UNIVERSITY","MICHIGAN STATE UNIVERSITY","MICHIGAN STATE UNIVERSITY","VJKZC4D1JN36","EAST LANSING","MI","THIS ACTIVITY WILL ENGAGE IN AFRICA (ETHIOPIA AND NIGERIA) AND SOUTHEAST ASIA (BANGLADESH AND INDONESIA) TO ADVANCE BLIGHT-RESISTANT POTATO VARIETIES THROUGH THE PRODUCT LIFE CYCLE. THE ACTIVITY WILL ALSO IMPROVE THE CAPACITY OF PARTNER-COUNTRY RESEARCHERS AND MARKET SYSTEMS TO DEVELOP AND DISSEMINATE BIOTECHNOLOGY PRODUCTS THAT ADDRESS FOOD SECURITY CHALLENGES -¿ ULTIMATELY ENHANCING THE PRODUCTIVITY, RESILIENCE, AND NUTRITION OF SMALLHOLDERS.",11512672,"2021-09-24","2026-09-23",NA,"UNITED STATES","ASST_NON_7200AA21CA00018_7200","COOPERATIVE AGREEMENT (B)"
"Y8CWNJRCNN91","","UNIVERSITY OF ILLINOIS","UNIVERSITY OF ILLINOIS","UNIVERSITY OF ILLINOIS","Y8CWNJRCNN91","URBANA","IL","I2I 2.0 TECHNOLOGY DEVELOPMENT PLATFORM UNDER THE FEED THE FUTURE SOYBEAN VALUE CHAIN RESEARCH LEADER   AWARD",4000000,"2021-09-20","2026-09-29",NA,"UNITED STATES","ASST_NON_7200AA21CA00019_7200","COOPERATIVE AGREEMENT (B)"
"G56PUALJ3KT5","","CORNELL UNIVERSITY","CORNELL UNIVERSITY","CORNELL UNIVERSITY","EQA8NBEN9WD5","ITHACA","NY","FEED THE FUTURE INSECT-RESISTANT EGGPLANT PARTNERSHIP",5696421,"2021-09-30","2026-09-29",NA,"UNITED STATES","ASST_NON_7200AA21CA00022_7200","COOPERATIVE AGREEMENT (B)"
"XRJSGX384TD6","","WASHINGTON STATE UNIVERSITY","WASHINGTON STATE UNIVERSITY","WASHINGTON STATE UNIVERSITY","XRJSGX384TD6","PULLMAN","WA","THROUGH THE NEW DEEP VZN PROJECT, THE U.S. AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID) SEEKS TO ASSIST A   LIMITED NUMBER OF COUNTRIES, WITH A FOCUS ON AFRICA, ASIA, AND LATIN AMERICA, TO ESTABLISH CAPACITY TO DETECT,   CHARACTERIZE, AND DISSEMINATE INFORMATION AND FINDINGS REGARDING PREVIOUSLY UNKNOWN VIRUSES THAT HAVE   ORIGINATED IN WILDLIFE.  THE DEEP VZN ACTIVITIES WILL GENERATE INFORMATION THAT CAN BE USED BY OTHER PARTNERS TO   APPROPRIATELY ADDRESS GENDER IN THE DEVELOPMENT OF TOOLS AND STRATEGIES AND IN THE RECOMMENDATIONS FOR ANY   EVIDENCE-BASED VIRAL ZOONOSES RISK MITIGATION.",11532810,"2021-10-01","2026-09-30",NA,"UNITED STATES","ASST_NON_7200AA21CA00033_7200","COOPERATIVE AGREEMENT (B)"
"LN53LCFJFL45","","PRESIDENT AND FELLOWS OF HARVARD COLLEGE","PRESIDENT AND FELLOWS OF HARVARD COLLEGE","PRESIDENT AND FELLOWS OF HARVARD COLLEGE","ML98SNHE8XL1","CAMBRIDGE","MA","FIXED AMOUNT UNDER APS9-6812  ""KARTU PRAKERJA: EVALUATING INDONESIA'S JOBS TRAINING AND CASH  TRANSFER PROGRAM""",1382140,"2021-08-18","2025-08-17",NA,"INDONESIA","ASST_NON_7200AA21FA00005_7200","PROJECT GRANT (B)"
"F4N1QNPB95M4","","THE TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK","TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK, THE","THE TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK","F4N1QNPB95M4","NEW YORK","NY","NOLKUP: AN APP TO ACCESS LOW ARSENIC WATER IN BANGLADESH",200000,"2021-08-24","2025-08-23",NA,"BANGLADESH","ASST_NON_7200AA21FA00010_7200","COOPERATIVE AGREEMENT (B)"
