recipient_uei,IHE,recipient_name,recipient_name_raw,recipient_parent_name,recipient_parent_uei,recipient_city_name,recipient_state_code,prime_award_base_transaction_description,total_obligated_amount,period_of_performance_start_date,period_of_performance_end_date,period_of_performance_potential_end_date,primary_place_of_performance_country_name,generated_unique_award_id,award_type
JJHCMK4NT5N3,N,RESEARCH TRIANGLE INSTITUTE,RESEARCH TRIANGLE INSTITUTE,RESEARCH TRIANGLE INSTITUTE,JJHCMK4NT5N3,RESEARCH TRIANGLE PARK,NC,"THE OBJECTIVE OF THE USAID/JAMAICA SUPPORTING VICTIMS OF VIOLENCE ACTIVITY IS TO STRENGTHEN AWARENESS OF AND ACCESS TO TRAUMA-INFORMED SERVICES FOR SURVIVORS, WITNESSES, AND PERPETRATORS OF VIOLENCE, LEADING TO SHIFTS IN ATTITUDES AND INCREASED RESILIENCE TO THE RISK FACTORS FACED BY YOUTH, FAMILIES, AND COMMUNITIES THAT MAKE THEM SUSCEPTIBLE TO CRIME AND VIOLENCE. SPECIFICALLY, THE ACTIVITY WILL STRENGTHEN THE CAPACITY OF THE GOVERNMENT OF JAMAICA (GOJ), NON-GOVERNMENTAL ORGANIZATIONS (NGOS), AND CIVIL SOCIETY ORGANIZATIONS (CSOS) TO PROVIDE QUALITY SUPPORT SERVICES AND FOSTER COORDINATION THROUGH COLLECTIVE ACTION INITIATIVES (CAIS) IN HOTSPOT COMMUNITIES THAT IDENTIFY, PREVENT, AND RESPOND TO VIOLENCE. BY FOCUSING ON VIOLENCE PREVENTION, SURVIVOR AND WITNESS PROTECTION, AND PERPETRATOR REHABILITATION, SVOV WILL SUPPORT USAID/JAMAICA'S DEVELOPMENT OBJECTIVE 2, WHICH INCLUDES YOUTH CRIME AND VIOLENCE PREVENTED IN TARGETED COMMUNITIES.",5767501,2/9/24,2/8/29,NA,DOMINICAN REPUBLIC,ASST_NON_72051724CA00001_7200,COOPERATIVE AGREEMENT (B)
KZ2UGRDKFNJ6,N,WINROCK INTERNATIONAL INSTITUTE FOR AGRICULTURAL DEVELOPMENT,WINROCK INTERNATIONAL INSTITUTE FOR AGRICULTURAL DEVELOPMENT,WINROCK INTERNATIONAL INSTITUTE FOR AGRICULTURAL DEVELOPMENT,NA,NORTH LITTLE ROCK,AR,SOLID WASTE REDUCTION PROGRAM.,4400000,3/21/24,3/21/29,NA,DOMINICAN REPUBLIC,ASST_NON_72051724CA00003_7200,COOPERATIVE AGREEMENT (B)
KZ2UGRDKFNJ6,N,WINROCK INTERNATIONAL INSTITUTE FOR AGRICULTURAL DEVELOPMENT,WINROCK INTERNATIONAL INSTITUTE FOR AGRICULTURAL DEVELOPMENT,WINROCK INTERNATIONAL INSTITUTE FOR AGRICULTURAL DEVELOPMENT,KZ2UGRDKFNJ6,NORTH LITTLE ROCK,AR,UPPER LEMPA TRANSBOUNDARY WATER RESOURCE MANAGEMENT (WRM) ACTIVITY,12000000,3/29/22,3/28/27,NA,EL SALVADOR,ASST_NON_72051922LA00001_7200,COOPERATIVE AGREEMENT (B)
G3XNCEEELQN3,N,INSTITUTE OF INTERNATIONAL EDUCATION INC,INSTITUTE OF INTERNATIONAL EDUCATION INC,INSTITUTE OF INTERNATIONAL EDUCATION INC,G3XNCEEELQN3,NEW YORK,NY,REACCIÓN-SUPPORT FOR HUMAN RIGHTS DEFENDERS,1575000,3/11/24,3/10/29,NA,EL SALVADOR,ASST_NON_72051924CA00004_7200,COOPERATIVE AGREEMENT (B)
XN9GLLQZ58V4,N,"ASPEN INSTITUTE, INC. (THE)","ASPEN INSTITUTE INC, THE","ASPEN INSTITUTE, INC. (THE)",XN9GLLQZ58V4,WASHINGTON,DC,"USAID WILL CO-INVEST WITH THE PRIVATE SECTOR TO DEVELOP AND PROMOTE INVESTMENT IN GUATEMALAN ENTREPRENEURS AND INNOVATORS WHO ARE CREATING TECHNOLOGY-DRIVEN, MARKET-LED DEVELOPMENT SOLUTIONS AND NEED INVESTMENT CAPITAL TO ADDRESS DEVELOPMENT CHALLENGES. ENTREPRENEURS AND BUSINESSES WILL BE WORKING CROSS-SECTORALLY TO BUILD RESILIENCE TO CLIMATE CHANGE BY EXPANDING RENEWABLE ENERGY, INCREASING ACCESS TO RENEWABLE ENERGY, HEALTH, AGRICULTURE, WATER AND SANITATION, INFORMATION TECHNOLOGY INCLUDING TELEMEDICINE, FINTECH, AND EDUCATION IN REGIONS WITH HIGH LEVELS OF OUT MIGRATION, AND STRENGTHENING FOOD SECURITY AND NUTRITION.",8700000,9/10/21,9/9/26,NA,GUATEMALA,ASST_NON_72052021FA00002_7200,PROJECT GRANT (B)
JJHCMK4NT5N3,N,RESEARCH TRIANGLE INSTITUTE,RESEARCH TRIANGLE INSTITUTE,RESEARCH TRIANGLE INSTITUTE,JJHCMK4NT5N3,RESEARCH TRIANGLE PARK,NC,BASIC EDUCATION QUALITY AND TRANSITIONS ACTIVITY,17201100,3/1/22,2/28/27,NA,GUATEMALA,ASST_NON_72052022CA00001_7200,COOPERATIVE AGREEMENT (B)
HJUCNREX6BY8,N,INSTITUT POUR LA SANTE LA POPULATION ET LE DEVELOPPEMENT,INSTITUT POUR LA SANTE LA POPULATION ET LE DEVELOPPEMENT,NA,NA,NA,NA,BRIDGE: DIFFERENTIATED HIV SERVICE DELIVERY PROJECT FOR PRIORITY POPULATIONS,16417288,12/10/19,12/31/27,NA,HAITI,ASST_NON_72052120CA00003_7200,COOPERATIVE AGREEMENT (B)
X6L6JN1CYCN7,N,INSTITUT PANOS,INSTITUT PANOS,NA,NA,NA,NA,INTEGRATED SOCIAL AND BEHAVIOR CHANGE (SBC) ACTIVITY.,4265000,3/31/24,3/30/29,NA,HAITI,ASST_NON_72052124CA00001_7200,COOPERATIVE AGREEMENT (B)
JJHCMK4NT5N3,N,RESEARCH TRIANGLE INSTITUTE,RESEARCH TRIANGLE INSTITUTE,RESEARCH TRIANGLE INSTITUTE,JJHCMK4NT5N3,RESEARCH TRIANGLE PARK,NC,"THE IPE ACTIVITY WILL INCREASE ACCESS TO SAFE, QUALITY BASIC EDUCATION FOR CHILDREN AND YOUTH BY IMPROVING SOCIO-  ECONOMIC OPPORTUNITIES, CONTRIBUTING TO THE MULTI-SECTORAL IMPACTS OF VIOLENCE PREVENTION EFFORTS, AND DECREASING   IRREGULAR MIGRATION.",30275731,12/7/22,12/6/27,NA,HONDURAS,ASST_NON_72052223CA00001_7200,COOPERATIVE AGREEMENT (B)
LKTNULLR6FL6,N,JSI RESEARCH & TRAINING INSTITUTE INC,JSI RESEARCH & TRAINING INSTITUTE INC,NA,NA,BOSTON,MA,FEED THE FUTURE HONDURAS AVANZANDO LA NUTRICION ACTIVITY,5012645,11/20/23,11/19/28,NA,HONDURAS,ASST_NON_72052224CA00001_7200,COOPERATIVE AGREEMENT (B)
H41ZPMKG9VV7,N,INSTITUTO DE DERECHO Y ECONOMIA AMBIENTAL,INSTITUTO DE DERECHO Y ECONOMIA AMBIENTAL,NA,NA,NA,NA,INCREASING PRIVATE SECTOR ENGAGEMENT IN THE FIGHT AGAINST CORRUPTION AND IMPUNITY,710000,10/13/23,10/12/26,NA,PARAGUAY,ASST_NON_72052623CA00001_7200,COOPERATIVE AGREEMENT (B)
N3LEY82UQGS8,N,TIERRA LIBRE - INSTITUTO SOCIAL Y AMBIENTAL,TIERRA LIBRE - INSTITUTO SOCIAL Y AMBIENTAL,NA,NA,NA,NA,SUPPORT POTABLE WATER FOR INDIGENOUS COMMUNITIES IN THE PARAGUAYAN CHACO,52968,9/23/24,9/22/29,NA,PARAGUAY,ASST_NON_72052624CA00003_7200,COOPERATIVE AGREEMENT (B)
ETJ9E32JBBT1,N,UNIVERSITY OF THE WEST INDIES,UNIVERSITY OF THE WEST INDIES,UNIVERSITY OF THE WEST INDIES,Y2CAD3THKH35,NA,NA,"THE UWI WILL MANAGE HEALTH CONNECT JAMAICA TO CONTRIBUTE TO JAMAICA'S 90-90-90 TARGETS. THIS WILL BE DONE BY IMPLEMENTING HIV PREVENTION, CARE AND TREATMENT SUPPORT SERVICES WORKING THROUGH A PRIVATE SECTOR NETWORK OF PROVIDERS AND IN PARTNERSHIP WITH THE PUBLIC SECTOR LABORATORY AND PHARMACY SERVICES. UWI WILL SUPPORT ADULT PREVENTION, CARE & TREATMENT ACTIVITIES THAT WILL DO THE FOLLOWING:  -  IDENTIFY REMAINING NUMBERS OF UNDIAGNOSED INDIVIDUALS SOCIAL NETWORK STRATEGIES AND SERVICES BY AGGRESSIVELY PROMOTING AND ROLLING OUT PARTNER REFERRAL AND INDEX TESTING  -  IDENTIFY THOSE INDIVIDUALS DIAGNOSED WITH HIV PRIOR BUT NOT ON ART   -  LINK DIAGNOSED INDIVIDUALS TO HIV CARE AND TREATMENT FOR EARLY ART INITIATION  -  RETURN PLHIV LOST TO FOLLOW-UP TO TREATMENT SERVICES,   -  ENSURE ADHERENCE AND RETENTION IN SERVICES TO ACHIEVE VIRAL SUPPRESSION.   UWI WILL ROLL OUT ADOLESCENT CARE & TREATMENT INTERVENTIONS THAT ADDRESSES THE GAPS IN THE QUANTITY AND QUALITY OF ADOLESCENT FOCUSED HIV TREATMENT SERVICES, WITH A KEY FOCUS ON CARE & TREATMENT SERVICES FOR THE HIGH PREVALENCE POPULATIONS IDENTIFIED IN THE NSP. THIS WILL EXPAND THE ACCESS POINTS FOR CLINICIAN INTERVENTION FOR ADOLESCENT-SPECIFIC SERVICE DELIVERY THEREBY IMPROVING RETENTION AND VIRAL LOAD ACCESS. THE ACTIVITY WILL SUPPORT PEER-LED ADHERENCE CLUBS THAT HAVE BEEN PROVEN TO INCREASE ADHERENCE TO ANTIRETROVIRAL DRUGS.",4644891,3/1/21,9/29/28,NA,JAMAICA,ASST_NON_72053221CA00003_7200,COOPERATIVE AGREEMENT (B)
KZ2UGRDKFNJ6,N,WINROCK INTERNATIONAL INSTITUTE FOR AGRICULTURAL DEVELOPMENT,WINROCK INTERNATIONAL INSTITUTE FOR AGRICULTURAL DEVELOPMENT,WINROCK INTERNATIONAL INSTITUTE FOR AGRICULTURAL DEVELOPMENT,KZ2UGRDKFNJ6,NORTH LITTLE ROCK,AR,"THE USAID SUPPORTING VICTIMS OF VIOLENCE ACTIVITY WILL STRENGTHEN AWARENESS OF AND ACCESS TO TRAUMA-INFORMED SERVICES FOR SURVIVORS, WITNESSES, AND PERPETRATORS OF VIOLENCE, LEADING TO SHIFTS IN ATTITUDES AND INCREASED RESILIENCE TO THE RISK FACTORS FACED BY YOUTH, FAMILIES, AND COMMUNITIES THAT MAKE THEM SUSCEPTIBLE TO CRIME AND VIOLENCE. SPECIFICALLY, THE ACTIVITY WILL STRENGTHEN THE CAPACITY OF THE GOVERNMENT OF JAMAICA (GOJ), NON-GOVERNMENTAL ORGANIZATIONS (NGOS), AND CIVIL SOCIETY ORGANIZATIONS (CSOS) TO PROVIDE QUALITY SUPPORT SERVICES AND FOSTER COORDINATION THROUGH COLLECTIVE ACTION INITIATIVES (CAIS) IN HOTSPOT COMMUNITIES THAT IDENTIFY, PREVENT, AND RESPOND TO VIOLENCE.",3800000,7/10/23,7/9/27,NA,JAMAICA,ASST_NON_72053223CA00001_7200,COOPERATIVE AGREEMENT (B)
V9JKLHUETD15,N,UNIVERSITY OF THE WEST INDIES,UNIVERSITY OF THE WEST INDIES,UNIVERSITY OF THE WEST INDIES,Y2CAD3THKH35,NA,NA,"THE EDUCATIONAL RESEARCH INITIATIVE SEEKS TO ESTABLISH A FUNCTIONING EDUCATIONAL RESEARCH CENTER WITH AN INTERDISCIPLINARY RESEARCH FOCUS, WHERE RESEARCH SUPPORTS DECISION MAKING AND POLICY DEVELOPMENT FOR EDUCATIONAL INNOVATION AND DEVELOPMENT IN THE EASTERN CARIBBEAN AND BARBADOS. ENHANCED ACCESS TO DATA AND DEMAND-DRIVEN RESEARCH TO FACILITATE EVIDENCE-BASED PRACTICES AND DECISION-MAKING AND INFORM THE DEVELOPMENT AGENDA OF THE REGION.",3357433,3/29/21,3/28/25,NA,BARBADOS,ASST_NON_72053821CA00001_7200,COOPERATIVE AGREEMENT (B)
DAQZH33JYKW3,N,PAKACHERE INSTITUTE OF HEALTH AND DEVELOPMENT COMMUNICATION,PAKACHERE INSTITUTE OF HEALTH AND DEVELOPMENT COMMUNICATION,NA,NA,NA,NA,LOCAL ENDEAVORS FOR HIV/AIDS PREVENTION AND TREATMENT (LEAP) ACTIVITY.,9399445,9/10/19,9/8/26,NA,MALAWI,ASST_NON_72061219CA00007_7200,COOPERATIVE AGREEMENT (B)
GEQ9PNESYWR9,N,UNIVERSITY OF MALAWI CHANCELLO R COLLEGE,UNIVERSITY OF MALAWI CHANCELLO R COLLEGE,NA,NA,NA,NA,TRAIN SOCIAL WORKS FOR HIV PATIENTS.,961819,3/22/21,3/21/26,NA,MALAWI,ASST_NON_72061221CA00003_7200,COOPERATIVE AGREEMENT (B)
VNMEYKK3DN75,N,MALAWI COLLEGE OF HEALTH SCIENCES,MALAWI COLLEGE OF HEALTH SCIENCES,NA,NA,NA,NA,LEVERAGING LOCAL CAPACITY TO STRENGTHEN HEALTH SERVICE DELIVERY-HUMAN RESOURCE FOR HEALTH (HRH) # 2 ACTIVITY,4289701,5/5/21,5/4/26,NA,MALAWI,ASST_NON_72061221CA00005_7200,COOPERATIVE AGREEMENT (B)
MNZNHHAEH6G9,N,LILONGWE UNIVERSITY OF AGRICULTURE AND NATURAL RESOURCES,LILONGWE UNIVERSITY OF AGRICU LTURE AND NATURAL RESOURCES,NA,NA,NA,NA,LEVERAGING LOCAL CAPACITY TO STRENGTHEN HEALTH SERVICE DELIVERY - HUMAN RESOURCE FOR HEALTH (HRH) # 3 - NUTRITION 4 HEALTH ACTIVITY IN MALAWI,3992115,5/5/21,5/4/26,NA,MALAWI,ASST_NON_72061221CA00006_7200,COOPERATIVE AGREEMENT (B)
JLB5LVW9JZ68,N,MALAWI INSTITUTE OF EDUCATION,MALAWI INSTITUTE OF EDUCATION,NA,NA,NA,NA,MALAWI'S UPPER PRIMARY READING (UPREAD) ACTIVITY,3994193,6/21/21,6/21/26,NA,MALAWI,ASST_NON_72061221CA00009_7200,COOPERATIVE AGREEMENT (B)
VFT2J1ZDJ988,N,AFRICA UNIVERSITY,AFRICA UNIVERSITY,NA,NA,NA,NA,"ZENTO WILL SUPPORT THE NMCP'S ESTABLISHED MALARIA STRATEGY BY ADVANCING PROGRESS TOWARD MEETING THE PROGRAM'S ENTOMOLOGICAL GOALS FOR THE 2021-2025 PERIOD. NMCP'S CONCERN WITH ENTOMOLOGY, THE SCIENTIFIC STUDY OF INSECTS, IS TO MONITOR AND UNDERSTAND THE BEHAVIOR OF MOSQUITOES THAT CONTRIBUTE TO THE TRANSMISSION OF MALARIA.",2560000,9/20/21,9/19/25,NA,ZIMBABWE,ASST_NON_72061321FA00002_7200,COOPERATIVE AGREEMENT (B)
VU4MGPPBJLL4,N,INTERNATIONAL CROPS RESEARCH INSTITUTE FOR THE SEMI-ARID TROPICS,INTERNATIONAL CROPS RESEARCH INSTITUTE FOR THE SEMI-ARID TROPICS,INTERNATIONAL CROPS RESEARCH INSTITUTE FOR THE SEMI-ARID TROPICS,VU4MGPPBJLL4,NA,NA,ICRISAT RESEARCH ON IMPACT OF DIFFERENT AGRICULTURAL TECHNOLOGIES ON SOIL FERTILITY AND CROP YIELDS,500000,7/5/23,7/4/25,NA,ZIMBABWE,ASST_NON_72061323FA00001_7200,PROJECT GRANT (B)
DCAHMNBJMV17,N,JARAMOGI OGINGA ODINGA UNIVERSITY OF SCIENCE AND TECHNOLOGY,JARAMOGI OGINGA ODINGA UNIVERSITY OF SCIENCE AND TECHNOLOGY,NA,NA,NA,NA,"(HIV, FP/RMNACH, NUTRITION, WASH, DREAMS AND OVC). PROCUREMENT OF THE NEW USAID/HPN KENYA HEALTH PARTNERSHIPS FOR QUALITY SERVICES (KHPQS) ACTIVITY. KHPQS CLUSTER 5:",22552920,5/11/21,5/10/26,NA,KENYA,ASST_NON_72061521CA00004_7200,COOPERATIVE AGREEMENT (B)
JMV7XZ2FVKB4,N,ANANDA MARGA UNIVERSAL RELIEF TEAM,ANANDA MARGA UNIVERSAL RELIEF TEAM,NA,NA,NA,NA,USAID TUJITEGEMEE OVC AND DREAMS PROJECT IN MOMBASA AND KILIFI COUNTIES OF KENYA.,22925091,3/1/21,3/1/26,NA,KENYA,ASST_NON_72061521CA00005_7200,COOPERATIVE AGREEMENT (B)
SRYVEXCCSNK3,N,MOI UNIVERSITY COLLEGE OF HEALTH SCIENCES,MOI UNIVERSITY COLLEGE OF HEALTH SCIENCES,NA,NA,NA,NA,"THE PROGRAM WILL INCREASE ACCESS TO GENDER-SENSITIVE AND AGE-APPROPRIATE ESSENTIAL SERVICES FOR OVC AND THEIR FAMILIES; AND PROVIDE COMPREHENSIVE, FAMILY-BASED CARE TO HIGH-RISK SUB-POPULATIONS.",25561220,3/25/21,3/24/26,NA,KENYA,ASST_NON_72061521CA00008_7200,COOPERATIVE AGREEMENT (B)
JRVPLLKYCM65,N,UNIVERSITY OF NAIROBI,UNIVERSITY OF NAIROBI,UNIVERSITY OF NAIROBI,JRVPLLKYCM65,NA,NA,USAID FAHARI YA JAMII - CLUSTER 2 PROGRAM,38212358,4/23/21,4/26/26,NA,KENYA,ASST_NON_72061521CA00014_7200,COOPERATIVE AGREEMENT (B)
N7TTJ6YJ9828,N,ELECTORAL LAW AND GOVERNANCE INSTITUTE IN AFRICA,ELECTORAL LAW AND GOVERNANCE INSTITUTE IN AFRICA,NA,NA,NA,NA,USAID FOREIGN ASSISTANCE FOR PROGRAMS OVERSEAS,5100000,11/17/21,11/16/25,NA,KENYA,ASST_NON_72061522FA00001_7200,PROJECT GRANT (B)
R66LMR75YKD6,N,KENYATTA UNIVERSITY,KENYATTA UNIVERSITY,NA,NA,NA,NA,YALI RLC EA,14248426,4/12/22,4/10/27,NA,KENYA,ASST_NON_72061522FA00012_7200,PROJECT GRANT (B)
J43CJRN2NBN7,N,INSTITUTE OF ECONOMIC AFFAIRS (IEA),INSTITUTE OF ECONOMIC AFFAIRS (IEA),NA,NA,NA,NA,USAID KENYA AND EAST AFRICA: CLOSING GAPS IN DEVOLVED HEALTH SERVICE DELIVERY FOR SELECT COUNTIES,3817682,11/15/23,11/14/28,NA,KENYA,ASST_NON_72061523CA00006_7200,COOPERATIVE AGREEMENT (B)
R66LMR75YKD6,N,KENYATTA UNIVERSITY,KENYATTA UNIVERSITY,NA,NA,NA,NA,"FIXED AMOUNT AWARD (FAA) NO. 72061523FA00001, USAID HEALTH EQUITY AND RESOURCE OPTIMIZATION (USAID HERO)",6050884,3/17/23,2/16/26,NA,KENYA,ASST_NON_72061523FA00001_7200,PROJECT GRANT (B)
N3TJAXAZKJE5,N,KENYA MEDICAL TRAINING COLLEGE,KENYA MEDICAL TRAINING COLLEGE,NA,NA,NA,NA,"USAD HEALTH WORKFORCE, QUALITY AND COMMUNITY SYSTEMS WILL STRENGTHEN HUMAN RESOURCES FOR HEALTH, QUALITY MANAGEMENT, AND COMMUNITY HEALTH SYSTEMS AT NATIONAL AND COUNTY LEVELS TO IMPROVE EQUITY, RESOURCE OPTIMIZATION, AND QUALITY OF ESSENTIAL HEALTH SERVICES.",3028346,4/5/23,10/4/26,NA,KENYA,ASST_NON_72061523FA00002_7200,PROJECT GRANT (B)
L8J8ESFN12R3,N,UNITED STATES INTERNATIONAL UNIVERSITY-AFRICA,UNITED STATES INTERNATIONAL UNIVERSITY-AFRICA,NA,NA,NA,NA,USAID EMPLOYMENT PATHWAYS FOR YOUTH,4056118,4/12/24,4/11/29,NA,KENYA,ASST_NON_72061524CA00005_7200,COOPERATIVE AGREEMENT (B)
LBDZLJGLH1K5,N,UNIVERSITY OF NAIROBI ENTERPRISES AND SERVICES LIMITED,UNIVERSITY OF NAIROBI ENTERPRISES AND SERVICES LIMITED,NA,NA,NA,NA,USAID KENYA DIGITAL HEALTH ECOSYSTEM ACTIVITY (KDHE),2892102,10/17/24,9/16/29,NA,KENYA,ASST_NON_72061525CA00001_7200,COOPERATIVE AGREEMENT (B)
P7LXAPDDM593,N,INSTITUTE FOR LAW AND ENVIRONMENTAL GOVERNANCE,INSTITUTE FOR LAW AND ENVIRONMENTAL GOVERNANCE,NA,NA,NA,NA,"LAND, ENVIRONMENT AND NATURAL RESOURCE MANAGEMENT POLICY REFORMS IN KENYA",1450001,1/16/25,1/15/30,NA,KENYA,ASST_NON_72061525CA00003_7200,COOPERATIVE AGREEMENT (B)
KWG6UL8PJJ27,N,OPEN UNIVERSITY OF KENYA,OPEN UNIVERSITY OF KENYA,NA,NA,NA,NA,USAID|KEA TRANSFORMING HIGHER EDUCATION ACTIVITY,2886783,12/23/24,9/22/29,NA,KENYA,ASST_NON_72061525FA00002_7200,COOPERATIVE AGREEMENT (B)
JJHCMK4NT5N3,N,RESEARCH TRIANGLE INSTITUTE,RESEARCH TRIANGLE INSTITUTE,RESEARCH TRIANGLE INSTITUTE,JJHCMK4NT5N3,RESEARCH TRIANGLE PARK,NC,USAID/UGANDA BIODIVERSITY FOR RESILIENCE ACTIVITY,29334926,6/1/20,5/31/27,NA,UGANDA,ASST_NON_72061720CA00007_7200,COOPERATIVE AGREEMENT (B)
LZ4PMD8AJ2J7,N,EAST-WEST MANAGEMENT INSTITUTE INC,"EAST-WEST MANAGEMENT INSTITUTE, INC.",EAST-WEST MANAGEMENT INSTITUTE INC,LZ4PMD8AJ2J7,NEW YORK,NY,USAID/UGANDA CIVIL SOCIETY STRENGTHENING ACTIVITY,18768817,9/1/20,8/30/27,NA,UGANDA,ASST_NON_72061720CA00011_7200,COOPERATIVE AGREEMENT (B)
X7MDV6NX6263,N,MAKERERE UNIVERSITY JOINT AIDS PROGRAM,MAKERERE UNIVERSITY JOINT AID S PROGRAM,NA,NA,NA,NA,"USAID/UGANDA INTENDS TO MAKE A TRANSITION AWARD UNDER THE REGIONAL HEALTH INTEGRATION TO ENHANCE SERVICES IN EAST-CENTRAL UGANDA (RHITES-EC) ACTIVITY TO SUPPORT THE ACHIEVEMENT OF THE GOVERNMENT OF UGANDA AND PEPFAR GOALS OF REACHING AND MAINTAINING HIV EPIDEMIC CONTROL BY 2020 AND ENDING AIDS BY 2030. THE ACTIVITY WILL BE ALIGNED TO THE JOINTLY DEVELOPED 2021 UGANDA PEPFAR COUNTRY OPERATIONAL PLAN (COP) AND SUBSEQUENT COPS. THE AWARD WILL BE MADE TO MAKERERE UNIVERSITY JOINT AIDS PROGRAM (HEREAFTER REFERRED TO AS MJAP) FOCUSING ON THE  EAST-CENTRAL REGION IN  UGANDA. THE DURATION OF THE ACTIVITY IS FIVE YEARS FROM THE DATE OF AWARD. OVER THE COURSE OF THE ACTIVITY, MJAP WILL WORK THROUGH AND SUPPORT THE PUBLIC HEALTH SECTOR TO INCREASE THE AVAILABILITY, ACCESSIBILITY AND UTILIZATION OF QUALITY INTEGRATED HIV AND TB SERVICES IN EAST-CENTRAL UGANDA. SPECIFICALLY, MJAP WILL: 1) SUPPORT CONTINUED IMPLEMENTATION OF A DISTRICT-BASED INTEGRATED PACKAGE OF QUALITY HIV/AIDS AND TB SERVICES IN THE PUBLIC SECTOR TO CONTRIBUTE TOWARDS THE ATTAINMENT AND SUSTENANCE OF EPIDEMIC CONTROL; AND 2) PROVIDE COMPREHENSIVE TECHNICAL SUPPORT THROUGH TRAINING, COACHING AND MENTORSHIP TO TARGETED PUBLIC FACILITIES TO ENHANCE THE DELIVERY OF QUALITY HIV AND TB SERVICES AT FACILITY AND COMMUNITY LEVEL AND POSITION THEM TO SUSTAIN EPIDEMIC CONTROL. MJAP WILL BE ASSIGNED ANNUAL TARGETS TAILORED TO THE HIV AND TB BURDEN IN THE SUB-REGION AS THE EPIDEMICS EVOLVE THROUGHOUT THE LIFE OF THE AWARD. SUBJECT TO AVAILABILITY OF FUNDS AND MJAP'S DEMONSTRATED CAPABILITY TO SUCCESSFULLY AND EFFICIENTLY IMPLEMENT ALL ACTIVITIES ENTAILED IN THIS PROGRAM DESCRIPTION, USAID MAY CONSIDER EXPANDING THE SUPPORT TO OTHER REGIONS AND SUB-REGIONS OF UGANDA.",27987250,10/1/21,10/1/26,NA,UGANDA,ASST_NON_72061721CA00001_7200,COOPERATIVE AGREEMENT (B)
THLMFMXSXTC4,N,THE INFECTIOUS DISEASES INSTITUTE LIMITED,INFECTIOUS DISEASES INSTITUTE LIMITED,NA,NA,NA,NA,"TO INCREASE AVAILABILITY ,ACCESSIBILITY AND UTILIZATION OF QUALITY INTEGRATED TB/HIV AND MDR TB SERVICES",14821796,10/29/21,10/28/26,NA,UGANDA,ASST_NON_72061722CA00003_7200,COOPERATIVE AGREEMENT (B)
THLMFMXSXTC4,N,THE INFECTIOUS DISEASES INSTITUTE LIMITED,INFECTIOUS DISEASES INSTITUTE LIMITED,NA,NA,NA,NA,USAID ORPHANS AND VULNERABLE CHILDREN INTERREGIONAL (OVC INTERREGIONAL) ACTIVITY: THE PURPOSE OF THE ACTIVITY IS TO PREVENT NEW HIV INFECTIONS AND REDUCE VULNERABILITY AMONG OVC AND ADOLESCENT GIRLS AND YOUNG WOMEN IN SELECTED DISTRICTS IN UGANDA.,9606982,9/30/22,9/29/27,NA,UGANDA,ASST_NON_72061722CA00005_7200,COOPERATIVE AGREEMENT (B)
V6AUVN1WLN98,N,"UNIVERSITY RESEARCH CO., LLC",UNIVERSITY RESEARCH CO LLC,NA,NA,CHEVY CHASE,MD,THE PURPOSE OF THIS ACTIVITY IS TO STREAMLINE INTEGRATED HEALTH SERVICES TO MORE EFFICIENTLY INCREASE THE SURVIVAL AND WELL-BEING OF VULNERABLE POPULATIONS AND TO IMPROVE HEALTH SYSTEM PERFORMANCE IN SELECT DISTRICTS. UHA WILL COMBINE THE FAMILY HEALTH AND HEALTH SYSTEMS STRENGTHENING ACTIVITIES CURRENTLY IMPLEMENTED BY THE FIVE USAID/REGIONAL HEALTH INTEGRATION TO ENHANCE SERVICES (RHITES) ACTIVITIES INTO JUST ONE NEW ACTIVITY.,83504932,12/5/22,12/4/27,NA,UGANDA,ASST_NON_72061723CA00001_7200,COOPERATIVE AGREEMENT (B)
V2DWM1KMJNK5,N,INTERNATIONAL REPUBLICAN INSTITUTE,INTERNATIONAL REPUBLICAN INSTITUTE,INTERNATIONAL REPUBLICAN INSTITUTE,NA,WASHINGTON,DC,"THIS ACTIVITY AIMS TO PREVENT AND MITIGATE THE EFFECTS OF VIOLENCE, REPRESSION, AND MANIPULATION IN UGANDAN POLITICS,   PARTICULARLY BEFORE, DURING, AFTER AND BETWEEN ELECTIONS, ENHANCE ACCOUNTABILITY MECHANISMS AND FOSTER A   DEMOCRATIC AND INCLUSIVE POLITICAL ENVIRONMENT.",1501937,12/20/23,12/19/26,NA,UGANDA,ASST_NON_72061724CA00001_7200,COOPERATIVE AGREEMENT (B)
