recipient_uei,IHE,recipient_name,recipient_name_raw,recipient_parent_name,recipient_parent_uei,recipient_city_name,recipient_state_code,prime_award_base_transaction_description,total_obligated_amount,period_of_performance_start_date,period_of_performance_end_date,period_of_performance_potential_end_date,primary_place_of_performance_country_name,generated_unique_award_id,award_type
M6NEX42VFN74,N,THE AQUAYA INSTITUTE,"AQUAYA INSTITUTE, THE",NA,NA,SAN ANSELMO,CA,A COOPERATIVE AGREEMENT TO IMPLEMENT THE RURAL WATER RESEARCH AND LEARNING PROGRAM TO ADDRESS RURAL WATER   SUPPLY DEVELOPMENT,11939260,9/15/21,9/14/26,NA,UNITED STATES,ASST_NON_7200AA21CA00014_7200,COOPERATIVE AGREEMENT (B)
E1KJPMG7LYZ6,N,UNIVERSIDAD NACIONAL AGRARIA LA MOLINA,UNIVERSIDAD NACIONAL AGRARIA LA MOLINA,DESPACHO PRESIDENCIAL,NA,NA,NA,PERUVIAN EXTENSION AND RESEARCH UTILIZATION HUB (PERU-HUB),13188056,9/20/21,9/19/26,NA,PERU,ASST_NON_7200AA21CA00030_7200,COOPERATIVE AGREEMENT (B)
EUKNN2GGF514,N,WORLD RESOURCES INSTITUTE,WORLD RESOURCES INSTITUTE INC,WORLD RESOURCES INSTITUTE,EUKNN2GGF514,WASHINGTON,DC,THE PURPOSE OF THIS CORPORATIVE AGREEMENT IS PROVIDE SUPPORT TO THE BUSINESS CASE FOR COLLECTIVE LANDSCAPE ACTION.,8471973,9/24/21,9/23/26,NA,UNITED STATES,ASST_NON_7200AA21CA00035_7200,COOPERATIVE AGREEMENT (B)
FHNEDVNGVLE8,N,LEMBAGA PENYELIDIKAN EKONOMI MASYARAKAT LPEM FAKULTAS EKONOMI UNIVERSITAS INDONESIA,LEMBAGA PENYELIDIKAN EKONOMI MASYARAKAT LPEM FAKULTAS EKONOMI UNIVERSITAS INDONESIA,NA,NA,NA,NA,NURTURING PARENTS AND CHILDREN IN INDONESIA: AN EARLY-STIMULATION INTERVENTION,200000,7/21/21,7/20/25,NA,INDONESIA,ASST_NON_7200AA21FA00007_7200,PROJECT GRANT (B)
RSDNJWR6FKB8,N,BRAC UNIVERSITY,BRAC UNIVERSITY,NA,NA,NA,NA,A MEDIA EXPERIMENT TO REDUCE INTIMATE PARTNER VIOLENCE IN BANGLADESH.,368000,8/31/21,8/30/25,NA,BANGLADESH,ASST_NON_7200AA21FA00022_7200,PROJECT GRANT (B)
DP38M16THBJ6,N,INSTITUTO TECNOLOGICO AUTONOMO DE MEXICO,INSTITUTO TECNOLOGICO AUTONOMO DE MEXICO,INSTITUTO TECNOLOGICO AUTONOMO DE MEXICO,DP38M16THBJ6,NA,NA,DIGITAL SOLUTIONS FOR ACCESS TO LABOR JUSTICE,715000,9/15/21,9/14/25,NA,MEXICO,ASST_NON_7200AA21FA00047_7200,COOPERATIVE AGREEMENT (B)
J3Z5MNJJ3FZ4,N,MAGEE-WOMENS RESEARCH INSTITUTE AND FOUNDATION,MAGEE-WOMENS RESEARCH INSTITUTE AND FOUNDATION,MAGEE-WOMENS RESEARCH INSTITUTE AND FOUNDATION,J3Z5MNJJ3FZ4,PITTSBURGH,PA,MATRIX - MICROBICIDE 2021 R&D PROJECT: ADVANCING THE RESEARCH AND DEVELOPMENT OF INNOVATIVE HIV PREVENTION   PRODUCTS FOR WOMEN,66500000,12/1/21,12/31/30,NA,UNITED STATES,ASST_NON_7200AA22CA00002_7200,COOPERATIVE AGREEMENT (B)
LKTNULLR6FL6,N,JSI RESEARCH & TRAINING INSTITUTE INC,JSI RESEARCH & TRAINING INC,NA,NA,BOSTON,MA,"THIS PROJECT COVERS THE TECHNICAL APPROACH IN DESIGNING PROGRAMS, ACTIVITIES AND TOOLKITS THAT WILL INFORM AND DETERMINE THE  ALLOCATION OF RESOURCES TO ASSIST SELECT CITIES IN ASIA IN ADDRESSING CHALLENGING OF URBAN DEVELOPMENT PARADIGMS",14463427,9/23/22,9/22/27,NA,UNITED STATES,ASST_NON_7200AA22CA00011_7200,COOPERATIVE AGREEMENT (B)
EKSQBDTMNYY5,N,AFRICA ONE HEALTH UNIVERSITY NETWORK (AFROHUN) LIMITED,AFRICA ONE HEALTH UNIVERSITY NETWORK (AFROHUN) LIMITED,NA,NA,NA,NA,AFRICA ONE HEALTH UNIVERSITY NETWORK (AFROHUN) TRANSITION AWARD,4480000,10/1/22,3/31/25,NA,UGANDA,ASST_NON_7200AA22CA00014_7200,COOPERATIVE AGREEMENT (B)
V2DWM1KMJNK5,N,INTERNATIONAL REPUBLICAN INSTITUTE,INTERNATIONAL REPUBLICAN INSTITUTE,INTERNATIONAL REPUBLICAN INSTITUTE,V2DWM1KMJNK5,WASHINGTON,DC,"HUMANITARIAN AID FOR ACTIVISTS RESILIENCY (HAAR). THE INTERNATIONAL REPUBLICAN INSTITUTE (IRI) WILL PROVIDE   HUMANITARIAN ASSISTANCE TO CUBAN POLITICAL PRISONERS, THEIR FAMILY MEMBERS, AND POLITICALLY MARGINALIZED INDIVIDUALS   IN AN EFFORT TO ALLEVIATE THEIR HARDSHIPS AND ALLOW THEM TO CONTINUE THEIR EFFORTS TO PROMOTE DEMOCRACY AND FREEDOM   IN CUBA.",1500000,2/1/23,1/31/26,NA,CUBA,ASST_NON_7200AA22CA00035_7200,COOPERATIVE AGREEMENT (B)
